start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,state
1371377617903,1371377618403,3,0,0,0,H3
1371377618403,1371377618903,3,0,0,0,H3
1371377618903,1371377619403,1,0,0,0,H3
1371377619403,1371377619903,1,0,0,0,H3
1371377619903,1371377620403,0,3,0,0,H4
1371377620403,1371377620903,1,2,0,0,H4
1371377620903,1371377621403,2,0,0,0,H3
1371377621403,1371377621903,1,0,0,0,H3
1371377621903,1371377622403,0,0,0,0,H2
1371377622403,1371377622903,0,0,0,0,H2
1371377622903,1371377623403,0,0,0,0,H2
1371377623403,1371377623903,0,0,0,0,H2
1371377623903,1371377624403,0,0,0,0,H2
1371377624403,1371377624903,0,0,0,0,H2
1371377624903,1371377625403,0,0,0,0,H2
1371377625403,1371377625903,0,0,0,0,H2
1371377625903,1371377626403,0,0,0,0,H2
1371377626403,1371377626903,0,0,0,0,H2
1371377626903,1371377627403,0,0,0,0,H2
1371377627403,1371377627903,0,0,0,0,H2
1371377627903,1371377628403,0,0,0,0,H2
1371377628403,1371377628903,0,0,0,0,H2
1371377628903,1371377629403,0,0,0,0,H2
1371377629403,1371377629903,0,0,0,0,H2
1371377629903,1371377630403,0,2,0,0,H4
1371377630403,1371377630903,0,0,0,0,H2
1371377630903,1371377631403,0,1,0,0,H4
1371377631403,1371377631903,2,0,0,0,H3
1371377631903,1371377632403,3,0,0,0,H3
1371377632403,1371377632903,5,0,0,0,H3
1371377632903,1371377633403,6,0,0,0,H3
1371377633403,1371377633903,0,0,0,0,H2
1371377633903,1371377634403,0,0,0,0,H2
1371377634403,1371377634903,0,0,0,0,H2
1371377634903,1371377635403,0,0,0,0,H2
1371377635403,1371377635903,0,0,0,0,H2
1371377635903,1371377636403,0,0,0,0,H2
1371377636403,1371377636903,0,0,0,0,H2
1371377636903,1371377637403,0,0,0,0,H2
1371377637403,1371377637903,0,0,0,0,H2
1371377637903,1371377638403,0,0,0,0,H2
1371377638403,1371377638903,0,0,0,0,H2
1371377638903,1371377639403,0,0,0,0,H2
1371377639403,1371377639903,0,0,0,0,H2
1371377639903,1371377640403,0,0,0,0,H2
1371377640403,1371377640903,0,0,0,0,H2
1371377640903,1371377641403,0,0,0,0,H2
1371377641403,1371377641903,0,0,0,0,H2
1371377641903,1371377642403,0,0,0,0,H2
1371377642403,1371377642903,1,0,0,0,H3
1371377642903,1371377643403,2,0,0,0,H3
1371377643403,1371377643903,6,0,0,0,H3
1371377643903,1371377644403,4,0,0,0,H3
1371377644403,1371377644903,0,0,0,0,H2
1371377644903,1371377645403,3,0,0,0,H3
1371377645403,1371377645903,3,0,0,0,H3
1371377645903,1371377646403,4,0,0,0,H3
1371377646403,1371377646903,0,0,0,0,H2
1371377646903,1371377647403,4,0,0,0,H3
1371377647403,1371377647903,2,0,0,0,H3
1371377647903,1371377648403,1,0,0,0,H3
1371377648403,1371377648903,2,0,0,0,H3
1371377648903,1371377649403,3,1,0,0,H4
1371377649403,1371377649903,0,2,0,0,H4
1371377649903,1371377650403,2,0,0,0,H3
1371377650403,1371377650903,6,0,0,0,H3
1371377650903,1371377651403,3,0,0,0,H3
1371377651403,1371377651903,4,0,0,0,H3
1371377651903,1371377652403,2,0,0,0,H3
1371377652403,1371377652903,6,0,0,0,H3
1371377652903,1371377653403,0,0,0,0,H2
1371377653403,1371377653903,4,0,0,0,H3
1371377653903,1371377654403,0,0,0,0,H2
1371377654403,1371377654903,2,0,0,0,H3
1371377654903,1371377655403,1,0,0,0,H3
1371377655403,1371377655903,0,0,0,0,H2
